TenantId,IncidentId,IntegrationName,EventId,EventCreatedTime,Severity,Status,TimeCreated,TimeClosed
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:f169492142d94201bf26ba61677ecd4a:c2ad570263a743569d81b255abd55b17,mssentinel,4fe9f4b5d79b4fa5ad2c25e8084791b1,1675497186459,Critical,Open,1673121806300,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:1585b75011b6413882684586e6c77276:2769ece4514a4d4bb94d0179a2ad300a,crowdstrike,be8e2f1724984e9daa1f00539f56a977,1675497186459,High,Open,1674951614043,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:c3a88ac5d4fe4448b14381e42ab0956e:fc2c269e4ca144efb2c7d7391d626945,crowdstrike,944aa483fe454160a3f05eca21385666,1675497186459,Medium,Closed,1675267533773,1675281509792
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:b905509f81194619b4436c1a3989a5b2:b1f928982f2a4c5ca0ca874f2678f72f,mssentinel,ce59b74ab0bc487789b481f639f14b99,1675497186459,Medium,Open,1675015692267,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:49a715a0e18441a1a8b8a34d5f335014:991c5e7dc5984ea8a29e7da2322a04e2,crowdstrike,88c44fca36f94f11b8ff5abd4f48f471,1675497186459,Critical,Open,1674593850934,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:1ee9e9ea9a944bd2a9b9a101dd1c3be0:eb1682c682bf44358bbeb683024cf9c9,mssentinel,2defe3dbd8c0493aa3bdb098cccd2410,1675497186459,High,Closed,1672215553544,1672431256779
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:33bc1cf9e29a4c23bd9a452e92e9188e:32b4d9912e9d4e52b10f41f510dc5bc5,crowdstrike,f5615031a73f4105a2b8d4e0f235634b,1675497186459,Low,Closed,1672660196784,1672909984792
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:03e82aa187264ceeb4fb517645018b47:cd81fb44a36d44268699f2504d4ea56e,mssentinel,ccec5a8941df435a9074b90ceb584ed3,1675497186459,High,Open,1674517773902,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:75cd1df0ba7b49dd904060cfd8ddcf9e:f7f35ff14f8c405bad373af3189c9f32,crowdstrike,49e5b45ea666469b83b5eafd152f6ae1,1675497186459,Low,Open,1671031777942,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:42d980064cd84b35bc208263123e8dda:a698b3e318ce4d22b5227098d2ef5949,crowdstrike,00ca548c9f2142e4bc090c3ea9035537,1675497186459,Medium,Open,1674066788042,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:8ef5f5350dbd4701887246ba7ef62de5:6c809b35ffb34d7b92a2a462f248a1f9,mssentinel,e49a49deacb84db69cfada316093bc67,1675497186459,Low,Closed,1671985218361,1672241500791
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:8395a5ff7edb4753a040ba788e3573c7:4399f06d9cc241d0b5a1743e70a37d2b,crowdstrike,94bc9b91dc91483392aec5746f425bda,1675497186459,High,Open,1674363515044,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:a592d35ff2a2427bbbea86cb06b67425:37a9e67354224b3c9ac1f18d6d634bec,crowdstrike,daa2d1764a7d41b9a347d5a2acfef102,1675497186459,Low,Open,1670733636148,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:f0b6a10f7fd04629bf75a62990e21bd7:2a73c6b8c5ec42e99932c170b553514d,mssentinel,00f99438bcc54cb6bddab6985b1aa4e4,1675497186459,Critical,Closed,1675450481493,1675646665261
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:c18d87c74f534cd1b066329eea801ff9:00f2f6b1e74b4cfcbb7cc03d574fa98c,mssentinel,0ee027cd6c9c40c7afc31d81ff052fb2,1675497186459,Medium,Open,1672563009832,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:b5e8594432ed4fc483ecf5f5a6f09358:0176ac4058924730a8e796c01bf0aeab,mssentinel,4afd67ad76924cb08a874d5654dc3b74,1675497186459,Low,Open,1673085913345,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:f2a497d1472e4dc39e984ceae574da7d:feeaac3e03d5424793bf484932b20110,crowdstrike,5491bf76e23b48c1a2b1b7da81a36e27,1675497186459,Critical,Closed,1673747834536,1673808275223
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:61aad0766475457880c57639b65163dd:d9e408387e984987a03a868357bce516,mssentinel,f97374c6966f4e1f9727a61582739360,1675497186459,Critical,Open,1673139175169,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:ece373cf61fc490cbb83613363b4ec90:355405a33cd54344955279068e1a2821,crowdstrike,52d2afa3f58647cabc15fe07c176822a,1675497186459,Critical,Closed,1673988720325,1674197013631
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:014d69efbf67407190f018eb49acf088:7a3494cfe34c4e36898a90d461dca625,mssentinel,07e6f098d8f948c1bc2a62035f43eeee,1675497186459,Low,Closed,1670753326557,1670765453985
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:3e16aa979e38442bba33707ef678d507:817d2c4ed56045ebb64b0944653a97f0,mssentinel,aced78ac3de04c21952da80d7946025e,1675497186459,Critical,Open,1675088659651,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:daaffae63a3243b3a2541ad95e095edc:ed4178da2f344404b2a58d87b289fb0e,mssentinel,4f35424d520646efb4b354451217bd8f,1675497186459,Medium,Closed,1673181694711,1673262596397
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:4124900ffbab448c83345cc320da5e57:ed97f14e848f4243876f0252c26b1317,mssentinel,b94528a0c54d40d5bd90ec9d3bd5587a,1675497186459,Critical,Open,1675275786154,
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:22a1195616974850a000364e47c659b1:ce863d58f88d4e45badbf017c55d4cde,mssentinel,3a30b52f6ba44acb8aa85bf300ba7e2e,1675497186459,Critical,Closed,1673154817073,1673302107360
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:07dd5e5ba3a9431b98b36c32c08a8b14:8c2b61589cb54f578ff55629608c26d3,mssentinel,802f1a4bc1724112936f0fca743f0126,1675497186459,Medium,Closed,1672563443679,1672736750566
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:4b8929f05b5940c3ac025c6ca18f0a5c:2e4006eb97274b8ba4d797f22006398e,crowdstrike,5265bd997c7c4cc589aa3e590c49c8ee,1675497186459,Critical,Closed,1671287880498,1671416041045
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:eb31bcec0cda428481271d040053e7ef:5fdbbf6202c242209bcce4a82a5b74ac,mssentinel,db88031bd2a8474ca159bfde7bd678f2,1675497186459,Low,Closed,1672560620731,1672702406938
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:8c33b92ff8c64b0282b184840e7e14bc:34ee0061777844b1b1adb29ce2e1e916,mssentinel,046004e08cbb4ff985f6137954a83139,1675497186459,Medium,Closed,1673988774780,1674087795747
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:8769fc3248074ea9be7110e3189e5c09:d5a98c25b7c3487099a42b32026a6aa8,crowdstrike,22e3e588c5774271995c6271d6fa6a7e,1675497186459,Low,Closed,1674775106294,1674936258565
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:1edf2963a1454c4b81ab24372b3917e7:08290a84371b4c098ee240c0cf660681,crowdstrike,facf64072e9e442da90c5f8ddd36ad55,1675497186459,High,Closed,1675071814144,1675200124030
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:7f4a759654c14f0493258389ab0e7189:af3ca31e781746079206eb375b50a6b3,crowdstrike,82474566c9114160b9ed8ca254f83d56,1675497186459,High,Open,1672445401523,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:fe3da3bb995c46b0a179f5a3bcf327b7:30b2bf577920472eb6a24e980b69658e,crowdstrike,98452c6f9f6f4de198a0eb5227410949,1675497186459,High,Open,1675614986203,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:36b5be683cf64c3d8bc70aa31869ecfd:38d8fdbe20b44e24b6b744aa48e8c9d2,crowdstrike,38a2d87ac89a4cc38bab70b01026e611,1675497186459,Critical,Open,1671431932228,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:1ae4ca177afb4674a06b0c86c5fce9d2:7294fbc5fcaa41e38dd024e56496f9ac,mssentinel,c9a699e297084d95bd96f4c60f31361a,1675497186459,Low,Open,1675549652806,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:9f22c32faba648f4b0a4867015521237:38ccea9caafe4235aef67a8446a7775c,mssentinel,75b1019cbb3b489f99c530ad2ff01ca2,1675497186459,Medium,Open,1672927566850,
33qr3gs8-41u6-32i6-2672-h361u7j631ht,inc:61bafa58bc3345efb615497c31e433ec:7298145db0e84f34948a07598b32a7d8,mssentinel,73d51b833f16473f9bc3e4327c00303c,1675497186459,Critical,Closed,1673068023363,1673250611268
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:e021604324bb4d75ac5bb6b6bc958bd1:b24a21700fc4403daf6dfd42ee562382,mssentinel,66467453678f490b946efa4f70aab48f,1675497186459,Low,Closed,1671855638440,1672128512575
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:e800c6ec0be54e3eb04fe45333455185:324df81f532a4a77b10272934c304a96,crowdstrike,3aee335c332946cd82c9b9e9ea9c28a8,1675497186459,High,Closed,1672349337326,1672549229142
4d58c236-cc73-4e14-bfe0-e00bb5212b57,inc:5f240d8ad94d4897a06b85ebda8639a1:80be129dbfb04e7bbb270b4ff1344bf7,crowdstrike,cc081d889fbf46039a50d69829225d3b,1675497186459,Medium,Closed,1675008301792,1675269131709
